Tickets_Handled,Performance_Improvement_Percentage
61,60.39010414138342
24,53.49082085562036
81,66.94146893100313
70,62.59614704460252
30,54.005522117123604
92,69.74339185666483
96,70.23948657854476
84,67.49732652175166
84,67.653700282738
97,67.7220942350433
33,55.01223558782591
12,50.41158690595251
31,55.10625859716937
62,62.02057512975165
11,50.216544901242635
97,67.6764788237442
39,56.25092436648771
47,58.001589145749485
11,50.2364803089169
73,64.60830603476892
69,64.41727759060016
30,54.47221492516195
42,56.591350793501284
85,67.67466795208622
67,63.56823738855816
31,54.78934105744797
98,70.99225559180007
58,60.785109431274535
100,70.35229773221897
68,62.839868953239794
51,58.25210920982539
69,62.11827970963025
89,65.92414528346261
24,53.24548728788464
71,63.158785742282795
71,63.751140608052346
56,61.287402890030016
71,62.96034129890407
60,61.025957307589074
64,62.839988074066234
73,63.320714221298616
12,50.40769799098288
60,60.72437863228442
16,51.2483663861762
30,54.929697652342576
82,67.3092333664319
48,58.80346713736981
27,54.14074150165956
13,50.720550811534864
98,68.42090825909855
69,64.43304904554543
23,52.95057245724517
18,51.92297606206562
99,71.78760628465955
62,61.226809034926845
11,50.20550259622638
93,67.54593092454905
69,63.05996797644745
80,66.86305168072873
53,60.450570754001134
17,51.40243324568592
56,60.3747187959284
44,57.50959870535292
87,66.25511507031231
90,66.47946146933474
45,57.59082654995635
59,62.110128774585675
13,50.648480439803116
11,50.22593953108717
15,51.17575473972379
63,61.56361844630513
13,50.74576731240814
63,63.1504853315966
72,63.18052511705863
27,53.82266123000853
99,69.13890847868463
53,59.21240706291155
43,56.66086346313498
83,66.82490981902663
71,63.733171020848026
23,52.633461188312495
57,60.05481919095604
24,53.43578612017666
81,65.05044471186775
87,65.95784525755121
96,69.30464686919352
71,65.20623388503734
49,58.27200777944743
94,69.62296929910468
89,68.80839748054844
91,67.16243205316923
62,62.293362506390835
33,55.02295060262714
35,55.79038228824197
98,70.38753072734794
69,63.38053531802054
50,58.180579540108816
38,56.76942349382493
24,53.024546045480214
54,59.21034072287968
